Case Name,Status,Progress,Summary,State,BillTrack50 Link,Last Activity Date,Representatives to Contact,Sponsors,Yea Votes,Nay Votes,Category
DE SB227,Active,Senate Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes from competing on any sports team designated for the opposite ""biological sex"". The only exception is that schools may allow female athletes to compete on a male-designated sports team if there is no equivalent female-designated team. According to this bill, “biological sex” is to be defined by a student’s birth certificate as long as that certificate was issued at or near the date of birth. Edited birth certificates can only be used if they were corrected due to a clerical error. If a birth certificate is unobtainable, then the bill states that an alternative government record can be used, but it does not list what government records are allowable as alternatives. The requirements in this bill apply to public schools, charter schools, school districts, higher education institutions, and any schools that are members of the Delaware Interscholastic Athletic Association. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Delaware,https://legiscan.com/DE/bill/SB227/2021,11/2/2022,"Bryan Townsend, Nicole Poore, Stephanie Hansen, Ernesto Lopez, Brian Pettyjohn","Bryant Richardson, Richard Collins, Timothy Dukes, Jesse Vanderwende, Gerald Hocker, David Lawson",,,Sports
HI HB1304,Active,House Committee,This bill bans athletes whose sex assigned at birth is male from participating in sports team designated for women or girls. This requirement applies to public high schools (grades 9-12).,Hawai'i,https://legiscan.com/HI/bill/HB1304/2022,1/2/2022,"Justin Woodson, Jeanne Kapela, Della Au Belatti, Lynn DeCoite, Sonny Ganaden, Cedric Asuega Gates, Troy Hashimoto, Takashi Ohno, Sean Quinlan, Gregg Takayama, Ryan Yamane, Val Okimoto, Mark Nakashima, Scot Matayoshi, Linda Ichiyama, Dale Kobayashi, Matthew LoPresti, Nicole Lowen, Angus McKelvey, Nadine Nakamura, Roy Takumi, Chris Todd, James Kunane Tokioka, Gene Ward",Sam Satoru Kong,,,Sports
IL HB4082,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. According to this bill, “biological sex” is to be defined by the student’s genetics and reproductive biology “as ascertained at or before birth” (therefore presumably determined by the student’s birth certificate). This bill further requires all students who participate in sports to provide a written statement verifying their age, their “biological sex”, and confirmation that they have not taken any performance-enhancing drugs, including anabolic steroids, in the past 12 months. This written statement must be signed by the student’s parent or legal guardian if the student is under 18. If the school has any reasonable cause to believe that any information provided in this statement is false, the student can be banned from all athletics for the entire school year. The requirements in this bill apply to all interscholastic athletics and all forms of athletic competition among schools and students within the state.",Illinois,https://legiscan.com/IL/bill/HB4082/2021,22/3/2022,"Jehan Gordon-Booth, Tom Demmer","David Friess , Amy Grant , Adam Niemerg , Joe Sosnowski ",,,Sports
IA HF184,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. According to this bill, “biological sex” is to be defined by internal and external reproductive anatomy, endogenously produced levels of testosterone, and genetic makeup. In the case of disputes, a licensed physician must make this determination based on all three of these factors. The requirements in this bill apply to public  and accredited nonpublic schools, community colleges, and any institute of higher education that is a member of the National Collegiate Athletic Association, National Association of Intercollegiate Athletics, or National Junior College Athletic Association. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Iowa,https://legiscan.com/IA/bill/HF184/2021,22/1/2022,"Dustin D. Hite, Skyler Wheeler, RasTafari Smith, Jacob Bossman, Holly Brink, Sue Cahill, Cecil Dolecheck, Molly Donahue, Tracy Ehlert, Joel Fry, Garrett Gobble, Chad Ingels, David Kerr, Mary Mascher, Thomas Jay Moore, Sandy Salmon, Ray Sorensen, Art Staed, Sharon Sue Steckman, Henry Stone, Phil Thompson, John H. Wills, Cindy Winckler",Sandy Salmon,,,Sports
IA HF334,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes classified as male from participating in sports designated as female/women/girls. According to this bill, “biological sex” is to be defined by internal and external reproductive anatomy, normal, endogenously produced levels of testosterone, and genetic makeup. In the case of disputes, a licensed physician must make this determination based on all three of these factors. The requirements in this bill apply to public and nonpublic school, community college, or institution of higher learning. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Iowa,https://legiscan.com/IA/bill/HF334/2021,2/2/2022,"Dustin D. Hite, Skyler Wheeler, RasTafari Smith, Jacob Bossman, Holly Brink, Sue Cahill, Cecil Dolecheck, Molly Donahue, Tracy Ehlert, Joel Fry, Garrett Gobble, Chad Ingels, David Kerr, Mary Mascher, Thomas Jay Moore, Sandy Salmon, Ray Sorensen, Art Staed, Sharon Sue Steckman, Henry Stone, Phil Thompson, John H. Wills, Cindy Winckler",Jeff Shipley,,,Sports
IA SF2025,Active,Senate Committee,"This bill requires public and nonpublic elementary and secondary schools to designate all multi-occupancy restrooms as being for exclusive male use or exclusive female use. No person is allowed to enter a single- or multi-occupancy school bathroom if it is designated for a single sex that does not match the person’s sex assigned at birth. In this bill, sex is determined by the person’s birth certificate.",Iowa,https://legiscan.com/IA/bill/SF2025/2021,24/1/2022,"Herman C. Quirmbach, Claire Celsi, Eric Giddens, Jackie Smith, Amy Sinclair, Jeff Taylor, Jim Carlin, Chris Cournoyer, Tim Goodwin, Craig Johnson, Tim Kraayenbrink, Ken Rozenboom, Annette Sweeney, Brad Zaun",Jim Carlin,,,Bathrooms
KS HB2662,Active,House Floor,"This bill establishes a “parents’ bill of rights” that guarantees parents the right to direct and make decisions regarding their child’s education, upbringing, religious training, and healthcare. The bill requires school districts to guarantee a parent's right to be involved in their child's education. For example, parents must be able to inspect all curricula, syllabi, activities, exams, books, and other learning materials that will be used in their child’s classes. Parents must also have access to all educational and health records maintained by the school that pertain to their child. Parents may also challenge the material or educational benefit of any book, magazine or any other material in the school library, with a successful challenge resulting in the removal of that material from the school. To facilitate parental review of educational materials, each school district must establish an internet-based transparency tool titled the “parent transparency portal”. Furthermore, this bill also makes it illegal for any person with supervision of a commercial or public establishment to display or provide any material with nudity or sexual content to minors.",Kansas,https://legiscan.com/KS/bill/HB2662/2021,17/3/2022,,"Valdenia Winn, Stephanie Byers, Jo Ella Hoye, Jarrod Ousley, Kristey Williams, Susan Estes, Brenda Landwehr, Adam Thomas, Steve Huebert, Timothy Johnson, Sean Tarwater Sr.",,,Schools
KS SB160,Active,To Governor,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. In this bill, “biological sex” is not defined in any way and there is no explanation for how it should be determined. The requirements in this bill apply to interscholastic, intercollegiate, intramural or club athletic teams or sports that are sponsored by a public elementary or secondary school, a postsecondary educational institution, or any school whose students compete against a public school. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill. If any section of this bill is declared illegal or invalid, all other sections of the bill will remain in effect.",Kansas,https://legiscan.com/KS/bill/SB160/2021,8/4/2022,,"Dan Kerschen, Marci Francisco, Rick Billinger, Carolyn McGinn, Dennis Pyle, Mary Ware",,,Sports
KS SB484,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. In this bill, “biological sex” is not defined in any way and there is no explanation for how it should be determined. The requirements in this bill apply to interscholastic, intercollegiate, intramural or club athletic teams or sports that are sponsored by a public elementary or secondary school, a postsecondary educational institution, or any school whose students compete against a public school. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill. If any section of this bill is declared illegal or invalid, all other sections of the bill will remain in effect.",Kansas,https://legiscan.com/KS/bill/SB484/2021,21/3/2022,,"Dinah Sykes, Pat Pettey, Molly Baumgardner, Renee Erickson, Brenda Dietrich, Beverly Gossage, Rick Kloos, Kristen O'Shea, Alicia Straub",,,Sports
KY HB23,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls’ sports. According to this bill, “biological sex” is to be defined by either the student’s original, unchanged birth certificate, or an affidavit signed by a licensed health care practitioner who conducted a medical exam on the student establishing under penalty of perjury what the student’s “biological sex at the time of birth” was. The requirements in this bill apply to school districts, agencies designated by the Kentucky state Board of Education to manage interscholastic activities, public postsecondary institutions, and any postsecondary institutions that are part of a national intercollegiate athletic association. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Kentucky,https://legiscan.com/KY/bill/HB23/2022,29/3/2022,,"Ryan Dotson, Josh Calloway, Thomas Huff, Brandon Reed, Richard White, Melinda Gibbons Prunty, Jennifer Decker, Norma Kirk-McCormick, Scott Sharp, Bill Wesley, Daniel Fister, Matt Lockett, Steve Sheldon, Shane Baker, David Hale, Michael Sarge Pollock, Nancy Tate",,,Sports
KY HB253,Active,House Committee,"This bill bans all medical care done for transition purposes for minors (under the age of 18). It mandates that no physician or health care provider shall be allowed to provide, prescribe, or refer treatments to patients under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill also specifically allows for ""corrective"" procedures for intersex traits. Other exceptions include injuries, illness, or when there is an imminent danger of death without treatment. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action. This bill also prevents public funds from being given to any organization that provides trans care to minors in any capacity, and it prevents health insurance companies from paying for trans treatments for any minor. It also declares that all money paid to or used for anyone’s gender transition may not be tax deductible.",Kentucky,https://legiscan.com/KY/bill/HB253/2022,8/1/2022,"Derrick Graham, Angie Hatton, Joni L. Jenkins, David W. Osborne, David Meade, Chad McCoy, Suzanne Miles, Steven Rudy","Savannah Maddox, Shane Baker",,,Health Care
KY HB495,Active,Introduced,"This bill claims to protect ""religious freedom"" by carving out allowances for discrimination based on ""sincerely held religious beliefs or moral convictions”. The two beliefs/morals that are specifically protected in this bill are: (1) “regarding the sex of the two individuals who may enter into a marriage” and (2) “that ‘male’ or ‘man’ or ‘female’ or ‘woman’ refer to an individual’s sex”. It also explicitly defines sex as being ""immutable"" and ""objectively determined at birth"". The “religious freedom” protections apply to marriage, employment, housing, foster care, goods and services, dress codes, conduct codes, and more. Finally, it also allows people to refuse any medical treatment without consequence so long as they hold a sincere belief about it.",Kentucky,https://legiscan.com/KY/bill/HB495/2022,14/2/2022,,Melinda Gibbons Prunty,,,Other
KY SB84,Active,Senate Committee,"This bill bans all medical care done for transition purposes for minors (under the age of 18). It mandates that no physician or health care provider shall be allowed to provide or prescribe treatments or refer for treatment any patient under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill also specifically allows for ""corrective"" procedures for intersex traits. Violations are considered unprofessional conduct on the part of the medical professional and can result in disciplinary action. Furthermore, this bill prevents public funds from being given to any organization that provides trans health care to minors in any capacity and it prevents health insurance companies from paying for trans treatments for any minor. It also declares all money paid to or used for anyone's gender transition to not be tax deductible. The bill states that any who violate these rules can be sued for damages.",Kentucky,https://legiscan.com/KY/bill/SB84/2022,13/1/2022,"Ralph Alvarado, Stephen Meredith, Julie Raque Adams, Karen Berg, Danny Carroll, David P. Givens, Denise Harper Angel, Jason Howell, Alice Forgy Kerr, Michael J. Nemes, Max Wise","Robby Mills, Phillip Wheeler, Mike Wilson",,,Health Care
LA HB570,Active,House Committee,"This bill bans all medical care done for transition purposes for minors (under the age of 18). It mandates that no physician or medical healthcare professional shall be allowed to provide or prescribe any transition-related care to patients under 18. Furthermore, no mental healthcare provider or medical healthcare professional shall refer patients under 18 to a doctor for transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill also specifically allows for ""corrective"" procedures for intersex traits. Other exceptions include injuries, illness, or when there is an imminent danger of death without treatment. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action. This bill also prevents public funds from being given to any organization that provides trans health care to minors in any capacity, and it prevents health insurance companies from paying for trans health care treatments for any minor.  Furthermore, this bill requires any public or private school employee to inform the legal guardians of a minor if that minor’s gender identity does not match their sex assigned at birth. It also mandates that school employees are not allowed to encourage any minor to keep their gender identity private rather than telling their legal guardians.",Louisiana,https://legiscan.com/LA/bill/HB570/2022,15/3/2022,"Larry Bagley, Christopher Turner, Roy Daryl Adams, Robby Carter, Kenny Cox, Raymond J. Crews, Michael Charles Echols, Julie Emerson, Jason Hughes, C. Travis Johnson, Ed Larvadain III, Wayne McMahen, Dustin Miller, Pat Moore, Robert Owen, Thomas Pressly, Larry Selders, Joe Stagni, Tanner Magee, Clay Schexnayder",Gabe Firment,,,Health Care
LA HB837,Active,House Committee,"This bill bans public school teachers, school employees, or other presenters from discussing gender identities or sexual orientations with students from kindergarten through eighth grade. It further prohibits teachers, school employees, or presenters from discussing their own gender identity or sexual orientation with students from kindergarten through twelfth grade.",Louisiana,https://legiscan.com/LA/bill/HB837/2022,21/3/2022,"Lance Harris, Patrick Jefferson, ""Beryl Amedée  "", Ken Brass, Aimee Adatto Freeman, Barbara Freiberg, Stephanie Hilferty, Charles Owen, Tammy Phelps, Laurie Schlegel, Vincent St. Blanc III, Phillip Tarver, Tanner Magee, Clay Schexnayder","Dodie Horton, Rhonda Gaye Butler, Raymond J. Crews, Kathy Edmonston, Valarie Hodges, Danny McCormick, Rodney Schamerhorn",,,Schools
LA SB44,Active,Crossed over,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. According to this bill, “biological sex” is to be defined by the student’s official birth certificate issued at or near the date of birth. The requirements in this bill apply to public schools or universities, nonpublic schools or universities that receive state funds, and interscholastic or intercollegiate organizations that receive state funds. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill. If any section of this bill is declared illegal or invalid, all other sections of the bill will remain in effect.",Louisiana,https://legiscan.com/LA/bill/SB44/2022,12/4/2022,"Cleo Fields, Katrina R. Jackson, Mark Abraham, Robert Mills, Beth Mizell, Kirk Talbot, ""Mack """"Bodi"""" White""",Beth Mizell,,,Sports
MN HF350,Active,House Committee,"This bill amends existing Minnesota statutes regarding gender equity in school sports. It bans students whose ""biological sex"" is male from participating in interscholastic or intramural athletics that are designated for women or girls. In this bill, “biological sex” is not defined in any way and there is no explanation for how it should be determined. The requirements in this bill apply to elementary and secondary school level athletic programs.",Minnesota,https://legiscan.com/MN/bill/HF350/2021,17/2/2022,"Ruth Richardson, Hodan Hassan, Sondra Erickson, Peggy Bennett, Kaela Berg, Greg Boe, Michelle (Shelly) Christensen, Steve Drazkowski, Heather Edelson, Sandra Feist, Cedrick Frazier, Sydney Jordan, Heather Keeler, Kelly Moller, Patricia Mueller, John Poston, Peggy Scott, Dean Urdahl, Ami Wazlawik","Peggy Scott, Calvin Bahr, Brian Daniels, Bob Dettmer, Sondra Erickson, Pat Garofalo, Steve Green, Glenn Gruenhagen, John Heinrich, Josh Heintzeman, Eric Lucero, Patricia Mueller, Donald Raleigh",,,Sports
MN HF352,Active,House Committee,"This bill bans students whose ""biological sex"" is male from participating in female, women, or girls sports. According to this bill, “biological sex” is to be defined by internal and external reproductive anatomy, endogenously produced testosterone levels, and chromosomes. In the case of disputes, a licensed physician must make this determination based on all three of these factors and present a signed statement to this effect.",Minnesota,https://legiscan.com/MN/bill/HF352/2021,17/2/2022,"Ruth Richardson, Hodan Hassan, Sondra Erickson, Peggy Bennett, Kaela Berg, Greg Boe, Michelle (Shelly) Christensen, Steve Drazkowski, Heather Edelson, Sandra Feist, Cedrick Frazier, Sydney Jordan, Heather Keeler, Kelly Moller, Patricia Mueller, John Poston, Peggy Scott, Dean Urdahl, Ami Wazlawik","Peggy Scott, Brian Daniels, Sondra Erickson, Pat Garofalo, Steve Green, Glenn Gruenhagen, Josh Heintzeman, Eric Lucero, Patricia Mueller, Donald Raleigh, Susan Akland, Barb Haley, Debra Kiel, Kristin Robbins, Tama Theis",,,Sports
MN HF1657,Active,House Committee,"This bill bans students whose ""biological sex"" is male from participating in sports teams designated for female students. According to this bill, “biological sex” is to be defined by chromosomes, with anyone having one X and one Y chromosome being classified as “male”. Furthermore, all communal restrooms, locker rooms, dressing rooms, and shower rooms must be designated as “male only” or “female only”. Students classified as “male” are not allowed in any female-only facilities. Students who violate any of these rules can be charged with a petty misdemeanor. This ban applies to any K-12 students or students at a postsecondary institution who are participating in athletic programs operated by educational institutions or public services.",Minnesota,https://legiscan.com/MN/bill/HF1657/2021,17/2/2022,"Ruth Richardson, Hodan Hassan, Sondra Erickson, Peggy Bennett, Kaela Berg, Greg Boe, Michelle (Shelly) Christensen, Steve Drazkowski, Heather Edelson, Sandra Feist, Cedrick Frazier, Sydney Jordan, Heather Keeler, Kelly Moller, Patricia Mueller, John Poston, Peggy Scott, Dean Urdahl, Ami Wazlawik","Eric Lucero, Steve Drazkowski, Mary Franson, Glenn Gruenhagen, Joe McDonald, Tim Miller, Erik Mortensen",,,Sports
MN HF3843,Active,House Committee,"This bill states that people may only be allowed in multi-occupancy public facilities such as restrooms, locker rooms, and dressing rooms that are designated for their “biological sex”. This restriction also applies to public schools and universities as well as places of employment. In this bill, sex is stated to be “either male or female as biologically defined.” There is no further explanation given as to what that actually means or how “biological sex” should be determined.",Minnesota,https://legiscan.com/MN/bill/HF3843/2021,24/3/2022,"Kelly Moller, Jamie Becker-Finn, Jamie Long, Samantha Vang, Tina Liebling, Athena Hollins, Kaohly Vang Her, Cedrick Frazier, Sandra Feist, Tou Xiong, Peggy Scott, Kristin Robbins, Brian Pfarr, Paul Novotny, Erik Mortensen, Matt Grossell","Glenn Gruenhagen, Bob Dettmer, Josh Heintzeman",,,Bathrooms
MN HF4282,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls sports. According to this bill, “biological sex” is to be defined as either “male” or “female” and should be determined by the student’s official birth certificate issued at or near the time of birth. The requirements in this bill apply to interscholastic, intercollegiate, intramural, or club athletic teams, sports, or athletic events that are sponsored or sanctioned by a school district or charter school or an institution of higher education under the control of the Board of Trustees or the Board of Regents. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Minnesota,https://legiscan.com/MN/bill/HF4282/2021,24/3/2022,"Ruth Richardson, Hodan Hassan, Sydney Jordan, Kelly Moller, Heather Keeler, Sandra Feist, Cedrick Frazier, Heather Edelson, Michelle (Shelly) Christensen, Kaela Berg, Ami Wazlawik, Sondra Erickson, Dean Urdahl, Peggy Scott, John Poston, Patricia Mueller, Steve Drazkowski, Greg Boe, Peggy Bennett","Glenn Gruenhagen, Eric Lucero, Greg Boe",,,Sports
MO HB2086,Active,Introduced,This bill prevents any change to the sex designation on a person’s birth certificate except in the case of correcting a clerical error.,Missouri,https://legiscan.com/MO/bill/HB2086/2022,6/1/2022,,Bennie Cook,,,Documents
MO HB2197,Active,House Floor,"This bill bans student athletes from competing on a sports team that does not match their ""biological sex"". The only exception is that female athletes can compete on a sports team designated for male athletes if no equivalent female sports team exists. According to this bill, “biological sex” is to be determined by the student’s birth certificate as long as the sex designation on their birth certificate was entered at or near the time of birth or corrected due to a clerical error. The requirements in this bill apply to public and charter elementary and secondary schools. Schools that violate these requirements shall not receive funding from the state.",Missouri,https://legiscan.com/MO/bill/HB2197/2022,11/4/2022,"Peter Merideth, Keri Ingle, Wes Rogers, Mark Sharp, Emily Weber, Curtis Trent, Alex Riley, Mitch Boggs, Chris Brown, Bishop Davidson, Josh Hurlbert, Brad Pollitt, Adam Schnelting, Nick Schroer, Adam Schwadron, Bill Hardwick",Bennie Cook,,,Sports
MO HB2461,Active,House Floor,"This bill bans public schools from knowingly allowing a student who was assigned male at birth from participating in a school-sponsored athletic team that is designated exclusively for female students. According to this bill, “biological sex” is to be defined by an individual’s reproductive biology and genetics at birth. The bill also states that a joint committee on education shall study student athletic events that are exclusively for males or exclusively for females and the impact of a policy that prohibits participation in those events by individuals who are of the opposite sex. This committee shall report its findings and recommendations, with any legislation required to implement the recommendations, to the general assembly before January 1, 2024.",Missouri,https://legiscan.com/MO/bill/HB2461/2022,11/4/2022,"Peter Merideth, Keri Ingle, Wes Rogers, Mark Sharp, Emily Weber, Curtis Trent, Alex Riley, Mitch Boggs, Chris Brown, Bishop Davidson, Josh Hurlbert, Brad Pollitt, Adam Schnelting, Nick Schroer, Adam Schwadron, Bill Hardwick",Jamie Burger,,,Sports
